business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
IPMCS Spoken English,Spoken English Institute,English language school,English language school,737134,West Bengal Circle,North Bengal Region,Sikkim Division,"Singtam SO, Bardang BO, Bermiok BO",+91 80921 84004,N/A,4.8,,"opp. Govt. Women's Polytechnic, Tharpakhna, Plaza Chowk, Ranchi, Jharkhand 834001","Tharpakhna, Plaza Chowk",23.370459999999998,85.33120579999999,ChIJ5XtWkwzh9DkRjAWl52BAnW0,https://www.google.com/maps/place/?q=place_id:ChIJ5XtWkwzh9DkRjAWl52BAnW0,part_331,2026-09-20 20:18:41,5831
American Institute Of English Language Pvt.ltd Araria,Spoken English Institute,College,College,737134,West Bengal Circle,North Bengal Region,Sikkim Division,"Singtam SO, Bardang BO, Bermiok BO",+91 70072 56192,https://www.aiel.in/,4.9,214.0,"Sahara India Ke Samne, सॅहारा इन्डिया के सामने आश्रम रोड अररिया।, muhalla, Ashram Rd, Araria, Bihar 854311",PHED Colony,26.1371993,87.4649472,ChIJCWC641iJ7zkRc66ydLwm-sA,https://www.google.com/maps/place/?q=place_id:ChIJCWC641iJ7zkRc66ydLwm-sA,part_331,2026-09-20 20:18:41,5832
IGNOU Regional Centre-Gangtok,Spoken English Institute,University,University,737135,West Bengal Circle,North Bengal Region,Sikkim Division,"Ranipool SO, Ahoo Busty BO, Assam Lingzey BO",+91 3592 231 102,http://rcgangtok.ignou.ac.in/,3.8,94.0,"National Highway, 10, 6th Mile, above Bajaj Finserv, Tadong, Gangtok, Sikkim 737102",Tadong,27.3121661,88.5897363,ChIJ2y-2gAKl5jkRNcEkE35Ub8I,https://www.google.com/maps/place/?q=place_id:ChIJ2y-2gAKl5jkRNcEkE35Ub8I,part_331,2026-09-20 20:19:22,7868
Sikkim Manipal University,Spoken English Institute,Private university,"Private university, Distance Learning Center",737135,West Bengal Circle,North Bengal Region,Sikkim Division,"Ranipool SO, Ahoo Busty BO, Assam Lingzey BO",+91 1800 120 0488,https://smu.edu.in/smu.html,3.6,481.0,"5th Mile, Upper Tadong, Tadong, Gangtok, Sikkim 737102","Upper Tadong, Tadong",27.317521499999998,88.59729329999999,ChIJfZ_wE2757zkRW1ZwBJ8QxfM,https://www.google.com/maps/place/?q=place_id:ChIJfZ_wE2757zkRW1ZwBJ8QxfM,part_331,2026-09-20 20:19:22,7869
"The Linguist - Spoken English, IELTS, TOEFL and PTE Institute",Spoken English Institute,English language school,"English language school, English language camp",737135,West Bengal Circle,North Bengal Region,Sikkim Division,"Ranipool SO, Ahoo Busty BO, Assam Lingzey BO",+91 80105 44771,http://linguist.co.in/,4.9,647.0,"Dev Hillcrest, 101, Panvel Highway road, near Konark Gardens, beside Omkar heights, East, Shirgaon, Badlapur, Maharashtra 421503","East, Shirgaon",19.1536303,73.2287434,ChIJdUniryzt5zsRtOF1OF0P4Ms,https://www.google.com/maps/place/?q=place_id:ChIJdUniryzt5zsRtOF1OF0P4Ms,part_331,2026-09-20 20:19:22,7870
1-Way Spoken English Academy,Spoken English Institute,English language school,English language school,737135,West Bengal Circle,North Bengal Region,Sikkim Division,"Ranipool SO, Ahoo Busty BO, Assam Lingzey BO",+91 88886 88866,N/A,4.9,1123.0,"K.B Heights , Shop no 7,8 Second floor, Dange Chowk Rd, beside Bharat Petrol pump, Bhatewara Nagar, Hinjawadi, Pune, Maharashtra 411057","Bhatewara Nagar, Hinjawadi",18.5960558,73.7402724,ChIJ6bYVkdu7wjsRx0aNWBs6UZ8,https://www.google.com/maps/place/?q=place_id:ChIJ6bYVkdu7wjsRx0aNWBs6UZ8,part_331,2026-09-20 20:19:22,7871
Spoken English Class,Spoken English Institute,Education center,Education center,737135,West Bengal Circle,North Bengal Region,Sikkim Division,"Ranipool SO, Ahoo Busty BO, Assam Lingzey BO",+91 96754 42222,N/A,5.0,3.0,"The National Spoken English class, near HP petrol pump, Marunji, tal Mulashi, Maharashtra 411057",Marunji Village,18.6125605,73.716662,ChIJbWn8dkq7wjsRiOtKPGk9cQE,https://www.google.com/maps/place/?q=place_id:ChIJbWn8dkq7wjsRiOtKPGk9cQE,part_331,2026-09-20 20:19:22,7872
GO Language German Classes Spoken English Classes Advance Speaking Interview Skills French IELTS Ravet Akurdi Nigdi pcmc,Spoken English Institute,English language school,"English language school, German language school",737135,West Bengal Circle,North Bengal Region,Sikkim Division,"Ranipool SO, Ahoo Busty BO, Assam Lingzey BO",+91 97629 80309,https://golanguage.in/,4.9,172.0,"3rd floor, GO language Meenakshi apt above Disha computers opposite Domino's Pizza Ravet, Nigdi, Akurdi, Punawale, PCMC, Maharashtra 412101","Sector 32 A, Nigdi",18.643140799999998,73.75540629999999,ChIJqcN8_gC5wjsRMBBgzf9mYFg,https://www.google.com/maps/place/?q=place_id:ChIJqcN8_gC5wjsRMBBgzf9mYFg,part_331,2026-09-20 20:19:22,7873
THINK ENGLISH ACADEMY,Spoken English Institute,English language school,English language school,737135,West Bengal Circle,North Bengal Region,Sikkim Division,"Ranipool SO, Ahoo Busty BO, Assam Lingzey BO",+91 86982 27171,N/A,4.8,36.0,"104, pride purple square Kalewadi Phata, Wakad, Pune, Maharashtra 411057","Vishnu Dev Nagar, Wakad",18.6026948,73.7772195,ChIJ1VFVKg65wjsRA1K_s-_K8fo,https://www.google.com/maps/place/?q=place_id:ChIJ1VFVKg65wjsRA1K_s-_K8fo,part_331,2026-09-20 20:19:23,7874
Vivekananda Spoken English Pune,Spoken English Institute,English language school,English language school,737135,West Bengal Circle,North Bengal Region,Sikkim Division,"Ranipool SO, Ahoo Busty BO, Assam Lingzey BO",+91 93254 06471,https://sites.google.com/vivekanandaspokenenglishpune.online/vivekanandaspokenenglish?usp=sharing,4.8,129.0,"Esha House, Shree Datta Marg, near Golande Ram Temple, Sudarshan Nagar, Chinchwad, Pimpri-Chinchwad, Maharashtra 411033","Sudarshan Nagar, Chinchwad",18.6338932,73.7923917,ChIJgTgcAdG5wjsRA5moBsI5nfw,https://www.google.com/maps/place/?q=place_id:ChIJgTgcAdG5wjsRA5moBsI5nfw,part_331,2026-09-20 20:19:23,7875
English Classes 33,Spoken English Institute,English language school,English language school,737135,West Bengal Circle,North Bengal Region,Sikkim Division,"Ranipool SO, Ahoo Busty BO, Assam Lingzey BO",+91 96070 66188,N/A,4.9,53.0,"Flat No - 401, Shri Hari Apartment, SB Patil College Rd, opp. Bondve Bagh, Ravet, Pimpri-Chinchwad, Maharashtra 412101",Ravet,18.6565093,73.7426225,ChIJ6YADOMuxwjsRN6rmeRh0ZQ8,https://www.google.com/maps/place/?q=place_id:ChIJ6YADOMuxwjsRN6rmeRh0ZQ8,part_331,2026-09-20 20:19:23,7876
Mind Power Spoken English Institute,Spoken English Institute,English language school,English language school,737135,West Bengal Circle,North Bengal Region,Sikkim Division,"Ranipool SO, Ahoo Busty BO, Assam Lingzey BO",+91 92145 90150,N/A,4.9,86.0,"150, near Vivek Park, Sec. 03, Hiran Magri, Udaipur, Rajasthan 313002","Shanti Nagar, Sector 3, Sec. 03, Hiran Magri",24.5750361,73.7256544,ChIJJe6P9F_vZzkRb_YhS7Quk7k,https://www.google.com/maps/place/?q=place_id:ChIJJe6P9F_vZzkRb_YhS7Quk7k,part_331,2026-09-20 20:19:23,7877
"ENGLISH GURU ACADEMY, Rahatani",Spoken English Institute,Education center,Education center,737135,West Bengal Circle,North Bengal Region,Sikkim Division,"Ranipool SO, Ahoo Busty BO, Assam Lingzey BO",+91 97665 53633,http://www.englishguruacademy.com/,5.0,55.0,"above Dnyaneshwar water ATM, in front of 15 M street, Nakhate Vasti, Society, Rahatani, Pune, Pimpri-Chinchwad, Maharashtra 411017","Nakhate Vasti, Society, Rahatani",18.6049829,73.786451,ChIJ1zW_5gW5wjsRBXWgexMK3Us,https://www.google.com/maps/place/?q=place_id:ChIJ1zW_5gW5wjsRBXWgexMK3Us,part_331,2026-09-20 20:19:23,7878
American Institute of English Language Pvt. Ltd.,Spoken English Institute,Language school,Language school,737135,West Bengal Circle,North Bengal Region,Sikkim Division,"Ranipool SO, Ahoo Busty BO, Assam Lingzey BO",+91 95073 00838,http://www.aiel.in/,4.9,843.0,"Kali Bari Rd, near shyam vatika restaurant, Binodpur, Katihar, Bihar 854105",Binodpur,25.5376317,87.56716899999999,ChIJ1Y8e7IWp-jkRnSH4p6Riz9s,https://www.google.com/maps/place/?q=place_id:ChIJ1Y8e7IWp-jkRnSH4p6Riz9s,part_331,2026-09-20 20:19:23,7879
Evergreen English Academy,Spoken English Institute,English language school,English language school,737135,West Bengal Circle,North Bengal Region,Sikkim Division,"Ranipool SO, Ahoo Busty BO, Assam Lingzey BO",+91 86190 38976,N/A,5.0,120.0,"H.No.2, kha 12, Arya Samaj Marg, opposite Mahesh Seva Samiti, Amal Ka Kanta, Sector 4, Shanti Nagar, Hiran Magri, Udaipur, Rajasthan 313002","Amal Ka Kanta, Sector 4, Shanti Nagar, Hiran Magri",24.5645268,73.727001,ChIJQT0f85DvZzkRh0F0mdEZhEc,https://www.google.com/maps/place/?q=place_id:ChIJQT0f85DvZzkRh0F0mdEZhEc,part_331,2026-09-20 20:19:23,7880
ENGLISH SPEAKING ACADEMY,Spoken English Institute,Education center,Education center,737136,West Bengal Circle,North Bengal Region,Sikkim Division,Majitar SO,+91 96603 03849,N/A,5.0,5.0,"550, near to basant public school, Indira Colony Vistar, Pali, Rajasthan 306401",Indira Colony Vistar,25.7696313,73.3437043,ChIJT--SradzQjkRS4CarlZHH40,https://www.google.com/maps/place/?q=place_id:ChIJT--SradzQjkRS4CarlZHH40,part_331,2026-09-20 20:20:03,12560
Advanced Spoken English,Spoken English Institute,Education center,Education center,737136,West Bengal Circle,North Bengal Region,Sikkim Division,Majitar SO,N/A,N/A,4.9,127.0,"opp JJ Homes, Sinhagar College road, Kusgaon Rd, Kusgaon Budruk, Maharashtra 410401",Kusgaon,18.736789899999998,73.42404379999999,ChIJN0Xbh5sB6DsR6-k8yEkWiQk,https://www.google.com/maps/place/?q=place_id:ChIJN0Xbh5sB6DsR6-k8yEkWiQk,part_331,2026-09-20 20:20:03,12561
The Budding Twigs- An Educational Society,Spoken English Institute,English language school,English language school,737136,West Bengal Circle,North Bengal Region,Sikkim Division,Majitar SO,+91 70020 44647,https://the-budding-twigs.ueniweb.com/,5.0,68.0,"House no. 74, Akasi Path, Junali, Ambikagirinagar, Guwahati, Assam 781024","Junali, Ambikagirinagar",26.1672098,91.77965619999999,ChIJr1dxcEhZWjcRihsUT49Q100,https://www.google.com/maps/place/?q=place_id:ChIJr1dxcEhZWjcRihsUT49Q100,part_331,2026-09-20 20:20:03,12562
ILC International,Spoken English Institute,English language school,English language school,737136,West Bengal Circle,North Bengal Region,Sikkim Division,Majitar SO,+91 78969 76145,http://www.ilcpvtltd.com/,4.5,229.0,"Happy home girls pg, House No. 5, Chitraban Path, Opp: Nexa showroom, RG Baruah Rd, Guwahati, Assam 781003",Sarania Hills,26.178281799999997,91.7745515,ChIJ-92DA6FZWjcRixSA2HlszTM,https://www.google.com/maps/place/?q=place_id:ChIJ-92DA6FZWjcRixSA2HlszTM,part_331,2026-09-20 20:20:03,12563
English Champ / Spoken English classes in Dehradun / Spoken English Course in Dehradun / Best English speaking course near me,Spoken English Institute,English language school,English language school,737136,West Bengal Circle,North Bengal Region,Sikkim Division,Majitar SO,+91 89546 75190,http://englishchamp09.blogspot.in/,4.8,948.0,"Market, opposite Uttarakhand Gramin Bank, nearby DAV PG College, Karanpur, Dehradun, Uttarakhand 248001",Karanpur,30.3278091,78.0562369,ChIJY2Es1v0pCTkRWxIgYvROl2g,https://www.google.com/maps/place/?q=place_id:ChIJY2Es1v0pCTkRWxIgYvROl2g,part_331,2026-09-20 20:20:04,12564
English with Neil Sir (Grammar And Spoken English Institute),Spoken English Institute,English language school,"English language school, Coaching Center, English language camp, Grammar school, Guitar instructor, Language school",737136,West Bengal Circle,North Bengal Region,Sikkim Division,Majitar SO,+91 80770 55669,N/A,4.9,266.0,"Near Touch wood school, IT Park, Sahastradhara Rd, Dehradun, Uttarakhand 248013",Aman Vihar,30.352296499999998,78.080503,ChIJQbXW33wpCTkR80l1_6Tpdbs,https://www.google.com/maps/place/?q=place_id:ChIJQbXW33wpCTkR80l1_6Tpdbs,part_331,2026-09-20 20:20:04,12565
